ID,Tshangla,English
697,tsham mek sa,"Barber‟s shop, hair-cutting
saloon"
698,phai,House
699,ma phai,"Maternal house, main house"
700,tson kang,Prison
701,throm,"Town, market"
702,dung,"Village, countryside, rural area"
703,dra tshang,Monastic institution
704,shäy dra,Monastic institution
705,gon pa,Monastery
706,gön khaang,Inner chapel
707,ga ri chot sa,Automobile workshop
708,ga ri thaa sa,Car parking
709,drem khang,Post office
710,jaam tso,"Ocean, sea"
711,tsho,Lake
712,gäy sa tey wa,Capital
713,zhung,Capital
714,go nor ʼmän kaang,Veterinary hospital
715,druip dra,"Retreat centre, meditation centre"
716,gom dey,Spiritual community
717,shong laa sa,Resting place
718,naa daang,Resting place
719,sa chu,Hot spring
720,ʼman chu,"1. Hot stone bath
2.  Mineral water"
721,ri zik sa,"Washroom, bathroom"
722,ri khap ji,Water distribution point
723,ri ‟nai ma,"Bank, riverside"
724,ri muung,"Spring, water source"
725,ri tshang,"Pond, pool"
726,nga tsang,Fish pond
727,nga sing sa,"Fish farm, fishery"
728,go waa phai,Coop
729,wa phai,Cowshed
730,phak pa kor kang,Pigsty
731,kuur ta phai,"Mews, stable"
732,chang sa,Play ground
733,daang räy,Village compound
734,nây,Forest
735,ma nang,Forest
736,bo raang,Bush
737,wa braang sa,"Grazing land for cattle in the
forest"
738,che ma,Bush
739,ʼman kang,Hospital
740,"druk pa ʼman
kang",Traditional hospital
741,ʼnam dru thaang,Airport
742,par khaang,Photo studio
743,paang thaang,Ground
744,ung,Ground
745,dur thrö,Grave
746,tsong kaang,Shop
747,sha kang,Meat shop
748,mom se tsong sa,Vegetable market
749,ba go,Hut
750,ba kaa li phai,Plank house
751,ʼma kang,Military camp
752,laa khaang,Temple
753,zong,Dzong
754,ʼa ni mo dra tsang,Nunnery
755,yik tsang,Office
756,ʼa ring,Terrace
757,ʼung,Field
758,mom se dum ra,Vegetable garden
759,chuur,Kitchen garden
760,brak,Cliff
761,phuung ka paang,Cave
762,sam dro,Grassland
763,phu,"Highland, Mountain"
764,shot,Lowland
765,laa,Pass
766,dey khaa,Contingent
767,jaa thaang,Indian plain
768,shing drak sa,Sawmill
769,gaang thröe,Mountain retreat
770,ri thrö,Mountain retreat
771,tsham kaang,Hermitage
772,tsham phai,Hermitage
773,rho kang,Mortuary
774,ʼnäy kang,Residence of local deity
775,tshang,Nest
776,ga ri phai,Garage
777,nas,Comb
778,shing ga nas,Tight-tooth combs used for removing lice from the hair
779,sam daam kaan,Hair tie
780,sam thik saam,Hair tie
781,na ga keer,Earrings
782,na ke ri,Earrings
783,juu ru,Necklace
784,juu ru shai,A ring of beads/coral
785,zi,Cat‟s eye
786,na ʼyu,Turquoise
787,ʼyu,Turquoise
788,muu ti,A coral necklace
789,ji ning,Red coral necklace
790,dor ji,"Vajra, usually small in size
and worn as jewellery"
791,tso,Bracelet
792,tsai duum,Ring
793,ko ma,Brooch
794,jap thah,Chain connecting the two brooches
795,thur paang,Brooch used in olden times
796,thai ma,Leather belt
797,ko chap,"A leather belt with silver patterns, worn  by kings and the higher officials, in the olden times"
798,pe tree,Belt
799,shaa raang si,Hair oil
800,traa män,Hair oil
801,tsham zün ma,"Wig, artificial hair"
802,zu ka ʼman,Face cream
803,khaa jaang,"Number, quantity"
804,ʼläy kor,Zero
805,thur,One
806,nik tsing,Two
807,saam,Three
808,fee,Four
809,nga,Five
810,khuung,Six
811,zum,Seven
812,yen,Eight
813,guu,Nine
814,se,Ten
815,song thur,Eleven
816,song nik tsing,Twelve
817,song saam,Thirteen
818,song fee,Fourteen
819,so nga,Fifteen
820,song khuung,Sixteen
821,song zum,Seventeen
822,song yen,Eighteen
823,song guu,Nineteen
824,khai thur,Twenty
825,khai thur daang thur,Twenty one
826,khai tang thur,Twenty one
827,khai thur daang nik tsing,Twenty two
828,khai taang nik tsing,Twenty two
829,khai thur daang se,Thirty
830,khai taang se,Thirty
831,khai phey daang nik tsing,Thirty
832,khai thur daang song thur,Thirty one
833,khai thur daang so nga,Thirty five
834,khai nik tsing,Forty
835,khai nik tsing daang thur,Forty one
836,khai nik tsing daang  se,Fifty
837,khai phey daang saam,Fifty
838,khai nik tsing daang song thur,Fifty one
839,khai phey daang sam daang thur,Fifty one
840,khai phey daang saam daang nga,Fifty five
841,khai sam,Sixty
842,khai sam daang thur,Sixty one
843,"khai sam
dang se",Seventy
844,khai phey dang fee,Seventy
845,khai saam daang song thur,Seventy one
846,khai phedang fee daang thur,Seventy one
847,khai phey daang fee daang nga,Seventy five
848,khai pshi,Eighty
849,khai fee daang thur,Eighty one
850,khai phey daang nga,Ninety
851,khai phey daang nga daang thur,Ninety one
852,khai phey daang nga daang nga,Ninety five
853,khai nga,One hundred
854,jaa thur,One hundred
855,khai se,Two hundred
856,khai so nga,Three hundred
857,ni shu thur,Four hundred
858,ni shu thru daang khai nga,Five hundred
859,ni shu thur daang khai se,Six hundred
860,ni shu thur daang khai so nga,Seven hundred
861,ni shu nik tsing,Eight hundred
862,ni shu nik tsing daang khai nga,Nine hundred
863,ni shu nik tsing daang khai se,One thousand
864,tong thrah thur,One thousand
865,ni shu nga,Two thousand
866,tong thrah nik tsing,Two thousand
867,ni shu phey daang yen,Three thousand
868,tong thrah saam,Three thousand
869,ni shu se,Four thousand
870,tong thrah fee,Four thousand
871,ni shu phey daang song saam,Five thousand
872,tong thrah nga,Five thousand
873,ni shu so nga,Six thousand
874,tong thrah khuung,Six thousand
875,ni shu phey daang song yen,Seven thousand
876,tong thrah zum,Seven thousand
877,ni shu khai thur,Eight thousand
878,tong thrah yen,Eight thousand
879,tong thrah guu,Nine thousand
880,thri thur,Ten thousand
881,tong thrah se,Ten thousand
882,buum thur,One hundred thousand
883,thri se,One hundred thousand
884,sa ya,One million
885,bum se,One million
886,rong nang,"The hand span between the tip of the middle finger of one hand to the other
when the arms are stretched"
887,khaang,"The hand span between the elbow and the
tip of the middle finger when the fingers are extended"
888,ya nang,"The hand span between thumb and the tip
of the middle finger when the fingers of the hand are extended"
889,wai bee laam,"The hand span between thumb and the tip
of the bent index finger"
890,gun,"The hand span between thumb and the tip
of the bent index finger"
891,phok,"The hand span between thumb and the tip
of the index finger when the fingers of the hand are extended"
892,lak chaa,"Four-finger Width, the measurement of the width of four fingers together when placed flat"
893,ni jim,"Two-finger Width, the measurement of
the width of two fingers together when placed flat"
894,saam jim,"Three-finger Width, the measurement of the width of three fingers together when placed flat"
895,in chee,"Inch, Thumb Width, the measurement of
the width of the thumb"
896,thep,"Inch, Thumb Width, the measurement of the width of the thumb"
897,par,Handful
898,chom,Handful
899,cho,"Fist Height, the distance between the lower tip and the upper tip of clenched fist"
900,kang,"Step, the distance covered by a single step"
901,ʼä kar,Acre
902,drees,Decimal
903,mee dah sey,"The distance covered by a shot arrow, somewhat equal to 145 metres"
904,me trar,Metre
905,ki lo mi trar,Kilometre
906,fit,Feet
907,laam shu,A small measuring device round in shape used for measuring out grains and the like. Four laam shu is equal to one khau
908,khau,"A medium-sized measuring device round
in shape and usually made of wood, used for measuring out grains and the like"
909,sang,"A type of beam balance, with a cross-arm
and pans, used for measuring things"
910,li trar,Litre
911,ʼa da,"Half litre, half kilogram"
912,po wa,One of four equal of something
913,ke ji,Kilogram
914,ka la thap cha,Crockery
915,me deym,Tripod oven
916,thaap,Oven
917,saan ta,"An open shelve above the mud-oven, usually used for drying edibles"
918,drem phaang,"An open shelve above the mud-oven, usually used for stacking up the firewood"
919,muu guu gaang,Chimney
920,mee za,Brazier
921,gaar sang,Forge
922,kem paah,Tongs
923,muu guu doong,"A blow-pipe, used to make fire"
924,buut koong,"A blow-pipe, used to make fire"
925,pe lem,"A spatula-like device, used for collecting ashes"
926,thu lu,Ash
927,thab shing,"Wood, fuel"
928,khaa ree,Ash-solution
929,kho so,Charcoal
930,muu guu yor,Soot
931,muu guu ,Smoke
932,duung chuung,Small bottle or tube
933,kaa laa,Pot
934,tauu,Large pot
935,khô,Earthen pot
936,chong,Gourd
937,kaang suum,A tripod placed inside the ‟ar zang to hold kho
938,kar wa,Ladle
939,choke,Ladle
940,ga wa,Rice scoop
941,toh lem,Rice scoop
942,sip sa,Spatula
943,lem,Spatula
944,buung nang,Lid
945,pee pee,Funnel
946,dope,Bucket
947,geep dope,Bucket
948,kap taang drey shing,Rolling pin
949,kap taang paang,Board
950,cuur,"A traditional wooden device used for
making putang"
951,cha dope,Metal bucket
952,sha kar,Metal bucket
953,chu zaang,Container to store water
954,zom,"Barrel, wooden pail"
955,thong kor,Wooden tub
956,shing chong,A wooden tank used for storing water or Wooden tub
957,phor,Twirling stick
958,jaa thru,Twirling stick
959,jaam ji,Teapot
960,jaa kho,Teapot
961,jan dom,"A container with decorated patterns
on it, and made from either wood, pipe or bamboo used for storing wine"
962,dong tsong,"A container with decorated patterns on it, and made from either wood,
pipe or bamboo used for storing wine"
963,khoi jan,Pot-mat
964,khoi chin,Wine strainer
965,jaa su ma,Churning tea
966,su ma,Piston
967,mom se khaa chee,Vegetable knife
968,kaa traa la,Pocket knife
969,tap khaa  chee,Pocket knife
970,pah taang,Knife
971,cho wang,Knife
972,dik,Round aluminum pot without handle
973,so pa laang,"A bamboo container used for storing
wine"
974,buut pah,Bellows
975,mee phuur,Torch
976,raam ba,Torch
977,mok tru,A dumpling steamer
978,toke si,Mortar
979,toke si luung,Pestle
980,tun buu luung,Pestle
981,lu,"Larger mortar, used for beating rice and etc"
982,mee toh maang,"Larger pestle, used for beating rice
and etc"
983,raang thang,Millstone
984,raang thang gaang,"A hole on the millstone through
which the grain is put"
985,nap sa bak taang,"Kitchen pad, oven glove"
986,sa kho,Earthen pot
987,zaang zhong,Bowl
988,shing tro,Tray
989,shey ga dam ji,Bottle
990,baam zi,A bamboo container usually used to store butter
991,tsir ma,"A bamboo pouch, used to extract oil"
992,sahng,Measuring weight
993,sahng luung,Measuring stone
994,laa nga,Frying pan
995,taan paang,Chopping board
996,dah laah,"Flat bamboo container, usually used as winnowing fan or for drying
edibles"
997,zhhu dah laaah,"Larger and flat bamboo container, on
which fermented grains are spread, to be mixed with yeast"
998,baang khaap,"Larger and flat bamboo container, on which fermented grains are spread, to
be mixed with yeast"
999,cheir gaen,Strainer
1000,bok pee cheir gaen,"Strainer with smaller holes, used to sieve flour"
1001,khaa raang cheir gaen,"Strainer with medium sized holes, used to sieve maize grits"
1002,sa lan ji,"Strainer with medium sized holes,
used to sieve maize grits"
1003,ra chang,"Strainer with larger holes, used to
sieve grains"
1004,lô,"Bamboo mat, used to dry grains and etc"
1005,shor ma,Grater
1006,laap daar,Grater
1007,mok,Cup
1008,kar zhhu,"China, cup"
1009,gur buu,Curry bowl
1010,thur ma,Spoon
1011,shing gur buu,A wooden cup
1012,ʼnöi shu gur buu,"A wooden cup with silver lining in
the inner side"
1013,dzap shi gur buu,A cup made from burl wood
1014,thah li,Plate
1015,der ma,Plate
1016,baang chuung,"A container made from bamboo, used
as a plate and also for storing edibles"
1017,taang kum baang chuung,"A bamboo container which is little bigger than the baangchuung, and used as a plate and also for storing edibles"
1018,laang kem pa,"A piece of wood used for holding the
pan"
1019,brek shing,Roasting stick or A bunch of thin bamboo stick used for roasting grains
1020,hoor bo tal,"Flask, hot bottle"
1021,jaa sa,Sieve
1022,lak chuung,"A bamboo-woven container, usually
used for offering snacks"
1023,sho ma,"A large bamboo container used to store grains and also to store rice for
serving"
1024,toh rey,"A piece of cloth used for packing
food"
1025,yai,"Milk pail, churn"
1026,ʼar zaang,"A large cylindrical pot made of
copper used for brewing ’ara"
1027,khah tauh,A round metal pot with two short handles placed on top of the ʼarzaang to help the brewing process of the ’ara
1028,nang kho,A small pot placed inside ʼarzaang to collect ’a ra during the brewing process
1029,rae bak taang,A long strip of cloth fastened around the joint of khah tau and ‟arzaang to help the brewing process of the ‟ara
1030,ʼar zaang chu daang,A long strip of cloth fastened around the joint of khah tau and ‟arzaang to help the brewing process of the ‟ara
1031,ti mee,Lime container
1032,wa rong drom,"A wooden box with a horn-like curved structure at the front-edge of the box lid, usually used for storing
grains"
1033,noi shu,"Foil, tinfoil, silver paper"
1034,phrok pah,Bamboo basket
1035,shing phrok pah,Bambook basket with smaller holes
1036,soi phrok pah,"Bamboo basket with larger holes,
used to carry oak leaves"
1037,ruin di,Head strap of a bamboo basket
1038,phak dhar,Shoulder strap of bamboo basket
1039,len tsong,Fatwood
1040,braang phak sam,Broom
1041,phaah sa,Sack
1042,laam shu,Small measuring bowl
1043,khau,"A measuring bowl, larger than laam shu, , and one khaû is about four laam shu"
1044,tso chän,Head of the family
1045,za tshaang,Family
1046,gaat pu,Old man
1047,gaat muu,Old lady
1048,baam naang,Old lady
1049,gaat pu baam naang,Senior citizen
1050,mey mey, Grandfather or Old-aged man
1051,pe pe,Great grandfather
1052,ʼa bee,"Grandmother 
or Old-aged woman"
1053,ʼu bee,Great grandmother
1054,du bee,Great great grandmother
1055,pee pee,Great great great grandmother
1056,ʼa pa,Father
1057,ʼa ma,Mother
1058,waak saa,Children
1059,püen cha,"sibling 
or Parallel cousin"
1060,zhhuung zi,Sibling
1061,zhung,"While elder sister refers to
her younger brother"
1062,zi,"While elder brother refers to
her younger sister"
1063,naang ka so no,Relatives
1064,nang tshäin,Relatives
1065,phaah tshan,Relatives
1066,nee waa thuung ma,Relatives
1067,za,Son
1068,za min,Daughter
1069,ʼa na,"Elder sister
 or The elder woman"
1070,ʼa tah,"Elder brother 
or The elder man"
1071,ko tah,Younger brother or Younger man
1072,ʼau sen,Younger sister
1073,ʼau sa,Younger woman
1074,ʼau chee,Younger sister
1075,bo ning,Younger brother of a male sibling
1076,na ning,The younger sister of a female sibling
1077,thuung si,Youngest of the siblings
1078,chee lu,Eldest of the siblings
1079,ʼa jaang,"Maternal uncle 
or Father-in-law or Husband of paternal aunt"
1080,ʼa ni,"Paternal aunt 
or Mother-in-law 
or Wife of maternal uncle"
1081,ʼa ku,"Younger paternal uncle, 
Stepfather, 
Step husband, 
Husband of younger maternal aunt"
1082,ʼa zem,"Mother‟s younger sister, 
Stepmother, 
Stepwife, Wife of younger paternal uncle"
1083,ʼaum chee,"Elder maternal aunt, Wife of elder paternal brother"
1084,ʼaup chee,"Elder paternal brother, Husband of elder maternal sister"
1085,phaah sab,"Adopted father, foster father"
1086,ma sab,"Adopted mother, foster
mother"
1087,buu sab,Adopted child
1088,waak sa ming baa,"Baby, infant"
1089,ʼnyen,Spouse
1090,pheuak sa,Husband
1091,meuak sa,Wife
1092,ʼnai tshang,Wife
1093,ʼnai mo,Wife
1094,chee min,Daughter-in-law
1095,mak pa,Son-in-law
1096,tsô,Grandson
1097,tsau,Nephew
1098,tso min,Granddaughter
1099,tsau mo,Niece
1100,khot kin,"Brother-in-law, Son of maternal uncle, Son of paternal aunt"
1101,seer gah khot kin,"Immediate male cross cousin, a son of one‟s
mother‟s brother or father‟s sister"
1102,ma thaang,"Sister-in-law, Daughter of maternal uncle, Daughter of paternal aunt"
1103,seer gah ma thaang,"Immediate female cross cousin, a daughter of one's mother's brother or father's
sister"
1104,ʼmâ ro,"The husbands of sister
siblings"
1105,doh ji pin,Spiritual siblings
1106,ʼa paah gah so no,Paternal relatives
1107,ʼa pa ga ne wa thuung ma,Paternal relatives
1108,ʼa maa gaah so no,Maternal relatives
1109,ʼa ma ga ne wa thuung ma,Maternal relatives
1110,ʼaup sa,Father and children
1111,ʼaum za,Mother and children
1112,mo chaang,Spinster
1113,pho chaang,Bachelor
1114,pho chang mo chang,Childless couple
1115,sey maa,Twins
1116,kok ti,Bastard
1117,mo ren mo,Widow
1118,nong min,"Neighbour, next door"
1119,chim tshaang,"Neighbour, next door"
1120,chuung ʼnen,Child marriage
1121,sing za,Orphan
1122,haang,What?
1123,haang ya,What?
1124,haang ʼa ni,Why?
1125,haang ʼa ni ya,Why?
1126,ha ni,Why?
1127,ha ka ʼa ni,Why?
1128,ha ka ʼa ni ya,Why? or What has happened?
1129,ʼo ga,Where?
1130,ʼo lo ka,Where?
1131,haang ten,How?
1132,ʼe bee,Who?
1133,haang thuur,Which?
1134,haang da buu,Which?
1135,haang thuur khai pu,Which one?
1136,ʼe bee khai,Who?
1137,ʼe bee khai pu,Who?
1138,ʼe bee ga,Whose?
1139,ʼe bee ghee,Who?
1140,ghee ti ya,When?
1141,ʼe ti ya,When?
1142,ha laa ya,When?
1143,ha laa ,When?
1144,ghee laa ʼmo,Is it?
1145,maang ghee ʼmo,Isn‟t it?
1146,khaang ji la,Ant
1147,mee zu ma,Bee
1148,wa go ma,Rock bee
1149,khi toh kaa,Dung beetle
1150,phen phen ma,Butterfly
1151,chiw buu,Centipede
1152,zu lu,Cockroach
1153,young buu,Housefly
1154,khi young buu,Blow fly
1155,sha young buu,Flesh fly
1156,ʼnam dru buu,Dragonfly
1157,zhing buu,Earthworm
1158,tsing buu,Firefly
1159,nab taang,Flea
1160,shing,Louse
1161,jiik taang,Nit
1162,tek tek pa,Grasshopper
1163,pat pa,Leech
1164,zaang pat pa,Leech
1165,sa pat pa,Leech
1166,dung dung ma,Lizard
1167,trong chuung,Mosquito
1168,yong dhah mah,Spider
1169,‟yang da ma,Mantis
1170,luung buu,Maggot
1171,zaam ba,Sand fly
1172,keng ma,Tick
1173,shaang shi keng ma,Tick
1174,raang bhuu,Roundworm
1175,zhu ghee,Hornet
1176,kham baak taang,Grub
1177,ley baa,Black leech or Bedbug
1178,buu suum,Black spiky caterpillar
1179,ʼa ku dum ba,Brown stink bug larvae
1180,zeng zeng ma,Beetle
1181,wa rong ma,Wasp
1182,ra di buu,Termite
1183,cha la,"Goods, material"
1184,phai ga cha la,Household goods
1185,kang thri,Chair
1186,pee ra,Stool
1187,dhee wan,Divan
1188,dongh taan,A small low table
1189,cha gaam,Showcase
1190,mis kip,Meatsafe
1191,pa laang,Bed
1192,pa laang thok nik tsing pa,Bunk bed
1193,wa drom,"Wardrobe, closet, cupboard"
1194,me long,Mirror
1195,cho drom,Table
1196,cha drom,Trunk
1197,daang ka,A cloth hanging bar
1198,zar shing,Hanger
1199,mäy cha,Blanket
1200,mai cha,Blanket
1201,thaah nga,Blanket
1202,yok sam,Blanket
1203,go dre par da,Curtain
1204,mäy cha shuum,Quilt cover
1205,taan,Mattress
1206,khum da ring,Pillow
1207,khum da ring shuum,Pillowcase
1208,khaip,Tablecloth
1209,ʼar chu,Towel
1210,ʼar chu to rä,Towel
1211,dro zo ma,Dagger
1212,pa taang,Sword
1213,gaem si,Scissors
1214,thri mee toh,Battery
1215,thri mee,Torch
1216,nin du,Umbrella
1217,ʼur ti,Iron
1218,wa,Bathtub
1219,ka li sha raang,"Tap, faucet"
1220,ri ka li,Water tap
1221,pos,Water tap
1222,sa ti,Lamp
1223,laa wang,Oil lamp
1224,ga sa,"A stand to keep fire, lamp"
1225,ʼnak si,Ink
1226,dhah thoh,Calendar
1227,shu guu,Paper
1228,li phah,Envelop
1229,thik shing,Scale
1230,di ku,"Ink-pad, stamp pad"
1231,pe cha,Book
1232,ki taap,Book
1233,dey mee,Lock
1234,dey mee zu,Key
1235,ga bur,Camphor
1236,kaa puur,Naphthalene ball
1237,khaap,Sewing needle
1238,khaap tak pa,Safety pin
1239,tak kham,Sewing needle which is bigger in size
1240,par,Photograph
1241,par shing,"Woodblock, frame, block"
1242,thak pa,String
1243,doh chee,String
1244,rong shong,Rope
1245,juk thaa,Cow hitch
1246,phuur,Post
1247,go thaa,Cow hitch
1248,bir goong,Hobble
1249,ti ru pa ku,"Wallet, purse"
1250,mom ba ti,Candle
1251,rang,Paint
1252,mee,Electricity
1253,sa ti si,Kerosene
1254,mee tre,Match
1255,nam ba ring,Flute
1256,pee pee ma,"A flute, smaller in size with the blow hole on the tip"
1257,thaang namba ring,"A flute, larger in size with the
blow hole on the side"
1258,jis kang,"Traditional mouth organ made
of bamboo or copper"
1259,be jil bol,Light bulb
1260,tring,Tin
1261,peer,Steel
1262,guur,Tent
1263,khaa ri,Soap
1264,ʼlaang lep,Soap
1265,so tru,Toothbrush
1266,so ʼmän,Toothpaste
1267,trak chu,"Lacquer, stain, varnish"
1268,sha jeak sam,Toothpick
1269,jaang shing,Binoculars
1270,baam shu guu,Plastic
1271,chu shu,Plastic
1272,nga kut paang,Fishing line
1273,nga shong kut paang,Fishing line
1274,to maang,Standing stick
1275,täh cha,"Lash, whip"
1276,täy thaa,"Lash, stick"
1277,lak pa,Skin rug
1278,per kuut paang,Iron wire
1279,zaang kuut paang,Copper wire
1280,taan khaep,Bedsheet
1281,draam si taân,Intricate patterned rug/carpet
1282,pu tru,Velvet
1283,tsuk thru,Thick wollen blanket
1284,thri khaep,"Throne cover, seat cover"
1285,geap taan,Foam mattress
1286,gaap cha,Saddlery
1287,ga,Saddle
1288,to long ma,"Cowbell, dog-bell"
1289,pear dah ni,Rat trap
1290,phü chuur ba tsuung sam,Rat trap
1291,guung buu,Roof
1292,mung,Roof
1293,kaa chuung,"Jamb, a vertical post at the side of a
window"
1294,kaa chen,"Column, pillar"
1295,kaa wa,"Column, pillar"
1296,kaa dän,"Plinth, pillar support, pillar base"
1297,kün ga ra wa,Smaller railings on the windows of an alter
1298,ko,Door
1299,baang ko,Half door
1300,ko chuung,Window
1301,pa chuung,Window
1302,go dre,Window
1303,koi baak taang,Wooden or stone-made doormat
1304,ko be taang,Wooden or stone-made doormat
1305,koi taang,Doorsill
1306,thoke,Storey
1307,theam paang,Wooden floor
1308,paang,Plank
1309,paang lem,Plank
1310,ko sar,Latch
1311,kaap cha,Hinge
1312,chaat,Partition
1313,thray,Balcony
1314,sak pa,Wattle and daub
1315,chak sho,Iron sheet
1316,sa,Soil
1317,zhing,Mud
1318,bey sa,Sand
1319,ʼluung,Stone
1320,kang goo luung,Shingle
1321,jaang,Wall
1322,tsik pa,Stone-stacked wall
1323,zur luung,Corner stone blocks of a house with sharp edges
1324,gey trey luung,"Gravel, grit"
1325,doh lep,Slab
1326,rey ngan,Ladder
1327,doh chaey,Courtyard
1328,doh ka ring,Stone steps
1329,tsu khi,Bamboo mat
1330,rey dhaang,Fence
1331,ba lep,Bamboo mat
1332,shap kor,Surrounding of the house or Wall built around the house
1333,khaa nang,"A gate made from wood poles, to prevent the cattle from entering"
1334,nang ka,Living room
1335,rap se,"One of the rooms in a traditional house, either used as guest room or alter room"
1336,neer tshang,Store
1337,thap tsang,Kitchen
1338,choi sham,"Shrine-room, altar"
1339,chap saang,"Toilet, restroom"
1340,khi saang chung,"Toilet, restroom"
1341,yap,Attic
1342,lu huung,"The ground floor, used as the shed of cattle"
1343,na sa,"Disease, sickness"
1344,thri pah na sa,Jaundice
1345,draan ma ma ka ri ley ga,To faint
1346,shin dey läy,To faint
1347,na zu,Pain
1348,ya ma,Sinusitis
1349,shai na sa,Epilepsy
1350,faah näy,Epilepsy
1351,sat pah,Malaria
1352,khur chaang pu,Chill
1353,drö bar,Fever
1354,sa drim,"Flu, cough and cold"
1355,za nang so phu,Rashes
1356,so phu daa za,Rashes
1357,drum nä,Smallpox
1358,chu draang,"Cold rashes, winter rashes"
1359,go wa lus pu,Goosebumps
1360,ʼma chum,Measles
1361,ming shoke pey,Eyesore
1362,no ley,Sprain
1363,tsîk thruke pey,Sprain
1364,fot pey,Fracture
1365,foong mey,Swell
1366,phros pey,Vomit
1367,phros pe laa ma,To feel nauseated
1368,ming yu mey,To feel dizzy
1369,nga mey,"Ache, pain"
1370,shoke pe,Burning sensation
1371,so phey,Burn
1372,khuu suung,Boil
1373,khom khuu suung,Boil
1374,phroke pa khuu suung,Boil
1375,go wa khuu suung,Sty
1376,mras,Pimple
1377,maang,Melasma
1378,muke tu ma,Freckle
1379,shi nang shing,Mole
1380,ʼme wa,Mole
1381,saan,Birthmark
1382,rho tok pa,Dry white patches on the face
1383,dor,Goitre
1384,sho rey,Cleft
1385,shor po,Cleft lip (male)
1386,shor mo,Cleft lip (female)
1387,draang wa,gonorrhoea or urinary tract infection
1388,che raang na sa,Urinary tract infection
1389,khee thrüi bey,Diarrhoea
1390,khi kak pe,Constipation
1391,khi nyok taang,Piles
1392,chee ni na sa,Diabetes
1393,khaa sa kang nä,Foot and mouth disease
1394,thing mu lum na sa,Heart disease
1395,shaang gur,Wart
1396,khat,Wound
1397,wak sa ke ley gaah nat,Labor
1398,tsen,Push while delivering a baby
1399,ʼnat,Provoke
1400,so phu,Wound
1401,so phu kak pa,Big wound
1402,shur bey,To scald
1403,shong thung mey na sa,"Asthma, breathing problem"
1404,zey näy,Leprosy
1405,‟lu näy,Leprosy
1406,pra ghee,Ringworm
1407,be zhah wa,Crippled
1408,be kho ra,Bow-legged
1409,mish ma thong khan,Blind
1410,na ma thaa khan,Deaf
1411,yong ba,Dumb (male)
1412,yong min,Dumb (female)
1413,nos pa ling,Mad
1414,nos pan,Mad
1415,wak sa ma lek pa ʼa ni gey mey,Miscarriage
1416,wak sa sher ni dey ley,Miscarriage
1417,wak sa sher gey mey ga,Abortion
1418,kham,Injection
1419,toh kham,Appetite
1420,za kham,Appetite
