ID,Tshangla,English
2122,thoong ka,"Top, on"
2123,zur ka,"On the side of, beside"
2124,ʼnae ma,"On the side of, beside, Edge"
2125,re ka,Nearby
2126,rep ka,Corner
2127,chep ka,Slope
2128,pek,Slope
2129,ung,"Ground, plain"
2130,ʼnap,"Corner, end"
2131,nang ka,"Inside, in"
2132,nang du,Within
2133,fis ka,"Out, outside"
2134,o ka,"Under, below"
2135,phra nga,"Under, below"
2136,na lo ka,"Next to, beside, other side"
2137,wa rong,"Horn
"
2138,shaam pee,Tail
2139,lop lo pa,Dewlap
2140,soon thi,Trunk
2141,chheuw,Tusk
2142,zhin chong,Muzzle
2143,be joke taangh,Hoof
2144,bee tse nang,Claw
2145,nä ko pu,Jaw
2146,Pu,Fur or hair
2147,phong,Front legs
2148,bee ting,Hind legs
2149,ze khaang,Hump
2150,phung,Hump
2151,ngong,Mane of the horse
2152,Sop,Scale
2153,nor sem chain,Cattle
2154,wa,Cow
2155,wa da ma,Cow
2156,wa da za,Calf
2157,toh ka,"Bull, ox"
2158,toh ka da za,A young bull
2159,mon dor,Heifer
2160,men cha,Mithun
2161,jaa sa min,Hybrid cow of mithun
2162,jaa sa ,Hybrid bull of mithun
2163,jar si,Jersey
2164,bay laan ti wa,Jersey
2165,ra ba,Goat
2166,kuur tah,Horse
2167,bong buu,Donkey
2168,drê,Mule
2169,kuur tah se pâ,Stallion
2170,kuur tah gey mo,Mare
2171,kuur tah da za,Foal
2172,shi sha,Sheep
2173,phak pa,Pig
2174,nyan pu,Boar
2175,nyan mu,Sow
2176,bey laan ti phak pa,Imported pigs
2177,zhung ka phak pa,Imported pigs
2178,ew fah,Local pig
2179,sa phak pa,Local pig
2180,phak pa da za,Piglet
2181,khuu,Dog
2182,khuu dhah ma,Bitch
2183,khuu dhah za,Puppy
2184,khuu thhong pa,Stray dog
2185,khuu thhong pa,Stray dog
2186,khi khuu,Stray dog
2187,sha khuu,Hunting dog
2188,dah ni,Cat
2189,dah ni dhah za,Kitten
2190,me guu,Queen cat
2191,dah ni kau ra,Tomcat
2192,dah ni bau ra,Tomcat
2193,dah ni thongh pa,Tomcat
2194,ʼyak,Yak
2195,ʼyak thoh kah,Male yak
2196,ʼyak dhah ma,Female yak
2197,jim,Female yak
2198,ʼyak dhah za,Calf
2199,fee chuur ba,Rat
2200,phai da ra,Rat
2201,tsik sa,Mouse
2202,sha wa,Reindeer
2203,ba sha,Mountain goat
2204,bo raang phak pa,Wild boar
2205,gah sha,Barking deer
2206,bo raang khuh,Wolf
2207,phah ru,Wolf
2208,rom,Wolf
2209,ga gong ma,Yellow-throated marten
2210,gaok ma,Yellow-throated marten
2211,ʼom sha,Bear
2212,lah dom,Himalayan bear
2213,khai lah,Tiger
2214,zi,Leopard
2215,za lah,Monkey
2216,roke shah,Langur
2217,dret pu,Gorilla
2218,ʼlaang pa chen,Elephant
2219,nga mong,Giraffe
2220,shiu li,Fox
2221,gung,Jaguar
2222,ri ʼlaang,Bison
2223,nor buu si li,Rhinoceros
2224,ri phah,Hippopotamus
2225,tor to la,Squirrel
2226,ko sok taang,Squirrel
2227,phu ga dhah ni,Wildcat
2228,ʼom sha sha khi,Panda
2229,seng ghee,Lion
2230,ru ghee nang,Snake
2231,buu chee la,Snake
2232,bo daa,Python
2233,dung dung ma,Lizard
2234,yong ku luum,Lizard
2235,zum phee,Porcupine
2236,ri bong,Rabbit
2237,nga,Fish
2238,ru ghee nang nga,Eel
2239,taak taak pa,Frog
2240,bat ba la,Tadpole
2241,chu sin,Crocodile
2242,bui wa rong,Snail
2243,ri buu,Snail
2244,kang kaa ra,Crab
2245,chee tong kaam pa,"Prawn, shrimp"
2246,shiu ra du,Octopus
2247,ri buu,Tortoise
2248,pu,Fur
2249,dro,Feather
2250,shoke pa,Wings
2251,cop chee,Beak
2252,jar,Comb
2253,thor chee,Comb
2254,dor,Wattle
2255,wuun buu,Eagle
2256,chu khaa,Sparrow
2257,ku pee,Cuckoo
2258,jaa chuung,Garuda
2259,thhrung thhrung kar mo,Crane
2260,ngaang khee ʼa ma,Black-necked crane
2261,jaa daang,Pheasant
2262,sha kha,Magpie
2263,cung khaa,Jackdaw
2264,chuub jaa,Strok
2265,ghee lan ti,Duck
2266,ba tro,Parrot
2267,phah wang,Bat
2268,par wa,Pigeon
2269,phu tru,Pigeon
2270,gö,Vulture
2271,ka la tring kang,Ostrich
2272,aa wa ling,Crow
2273,aa wa,Crow
2274,tohk tohk khaa,Wood pecker
2275,ma jaa,Peacock
2276,euk  pa,Owl
2277,rip khaa,Kalij pheasant
2278,go laa po,Rooster
2279,go wa daa ma,Hen
2280,go wa daa za,Chick
2281,ba ling min,White
2282,seer boo,Yellow
2283,sa lu,Red
2284,chang lu,Black
2285,ngo kar,Sky blue
2286,yeng lu khaa muk ken,Dark blue
2287,yeng lu khaa ʼnak ken,Dark blue
2288,yeng lu khaa wang ken,Light blue
2289,li wang,Orange
2290,jang seer,Greenish yellow
2291,sha khaa,Pink
2292,jang khaa khaa muk ken,Dark green
2293,jang khaa khaa ʼnak ken,Dark green
2294,jang khuu,Dark green
2295,yeng lu,Blue
2296,jang khaa khaa wang ken,Light green
2297,sa lu khaa wang ken,Light red
2298,sa lu khaa muk ken,Brown
2299,jaa moo,Purple
2300,za ley,To eat
2301,jaa mey,To drink
2302,dro mey,"To beat, to hit"
2303,kong mey,"To beat, to hit"
2304,zhaak pey,"To beat, to hit"
2305,ʼling pe,"To jump, To run"
2306,juk pe,To run
2307,‟na za ley,"To promise, to swear"
2308,gong mey,To climb
2309,laang mey,To sit
2310,thing mey,To stand
2311,zhei phey,To sleep
2312,phros pe,To vomit
2313,u ley,To wake up
2314,mar bey,To get sick
2315,shi ley,To die
2316,yek pey,To say
2317,shong mey,To twist
2318,drees pey,To spin
2319,dree ley,To roll
2320,lo mey,To roll
2321,jak pe,To pull
2322,brek pe,To push
2323,tros pe,To support
2324,nar bey,To laugh
2325,gey phey,To cry
2326,tshung phung mey,To cough
2327,dam pey,To tie
2328,phek pey,To open
2329,chok pey,To open
2330,cho ley,To stay
2331,di ley,To go
2332,chot pey,To make
2333,chos pey,To make
2334,fot pey,To break
2335,khaang mey,To chop
2336,jar pe,"To stick, to join"
2337,ya ley,To mix
2338,ʼluuk pey,"To pour, to put"
2339,sho ley,"To take out, to withdraw"
2340,tsuk pey,To put inside
2341,brak pey,To scold
2342,phah ley,To bring
2343,buu ley,To take
2344,bee ley,To give
2345,la ley,To receive
2346,doke pey,"To catch, to receive  to accept"
2347,kheek pey,To scratch
2348,trek pey,To scratch
2349,brat pey,To scratch
2350,phak pey,"To clean, to sweep"
2351,ru ley,To snatch
2352,poke pey,To remove
2353,sok pey,To apply
2354,ʼûr pey,To apply
2355,zik pey,To wash
2356,gay mey,"To dispose, to throw, To lose"
2357,wak thuu phey,"To dispose, to throw"
2358,dus pey,"To pick up, to collect"
2359,duung mey,"To pick up, to collect"
2360,tsong mey,To sell
2361,ʼlo tsong mey,To disgrace
2362,trom pey,To crumple
2363,chat pe,To cut
2364,tok pey,"To cut, to chop"
2365,za mey,To cut
2366,chuung mey,"To prick, to stab"
2367,na mey,"To weave, to knit"
2368,phu ley,To lift
2369,thah ley,To keep
2370,zok pey,To grow
2371,drey phey,To squeeze
2372,tsir bey,To squeeze
2373,pen pey,To press
2374,yey ley,To wear
2375,phek pey,"To take off, to remove"
2376,tah phey,"To snap, esp. photo, To fold"
2377,chey ley,To plant
2378,drui bey,To write
2379,ji mey,To ask
2380,ʼlam pey,To study
2381,ʼlhak pey,To read
2382,thok pey,"To switch on, To obstruct, To allow"
2383,su phey,To block
2384,she ley,To kill
2385,nyan pey,To listen
2386,rai pey,To tear
2387,phok pey,To explode
2388,so phey,To burn
2389,zhit pey,To rot
2390,khur bey,To feel cold
2391,sa ley,To heat
2392,chang pey,To cool
2393,bren mey,To flatter
2394,ben mey,To lick
2395,zhum pey,To suck
2396,phaang pey,To show affection
2397,lek pey,To like
2398,shor bey,To lose
2399,thar bey,"To drop, To release"
2400,pher pey,To fly
2401,phur pey,To fly
2402,jan mey,To hang
2403,zhi ley,To hang
2404,zhut pey,To drop
2405,tu ley,To join
2406,cha mey,To get along
2407,trok pey,"To tease, To touch"
2408,phah phey,To bring down
2409,ba phey,To get down
2410,zhu ley,"To get down, To melt"
2411,tar bey,"To throw, To beat"
2412,kai bey,"To impose, To stack, To appoint"
2413,ke bey,To send
2414,muuk pey,"To put on, esp. hat"
2415,tso ley,"To wear, esp. Bracelet"
2416,ʼlik pey,"To grow or To wear, esp. jewelleries"
2417,muu ley,To fry
2418,bor pey,To fry
2419,shuuk pey,To drag
2420,phreng mey,To slip
2421,mrak pey,"To mash, to crush"
2422,ney ley,To make a dough
2423,noke pey,"To hit, esp. by horn"
2424,jake pey,To dig out
2425,ʼlos pey,To dig out
2426,bak pey,"To till, esp. soil"
2427,buuk pey,"To cover, to put on the lid"
2428,char bey,"To install, esp. prayer flag"
2429,teng mey,To compress
2430,daang mey,To walk
2431,nga mey,"To bite, To feel the pain"
2432,dat pey,To chew
2433,dor bey,To drill
2434,laa phey,To lash
2435,khir pey,To spin
2436,geer pey,To spin
2437,zhu mey,To turn over
2438,kor bey,"To circumambulate, To roam"
2439,them pey,"To stop, to break"
2440,nor bey,"To stop, to break"
2441,nong mey,To wait
2442,ley mey,To move
2443,dreng mey,To move
2444,khey mey,"To spread, esp. bedsheet"
2445,yok pey,To cover up
2446,nga ley,To borrow
2447,chee ley,To borrow
2448,zak pey,To win
2449,phah mey,"To lose, esp. competition"
2450,gan pey,"To get old, to age"
2451,ʼa ley,To do
2452,wak pey,To drive
2453,ru mey,To meet
2454,brae bey,"To depart, to divorce"
2455,zo mey,To gather
2456,ka tsom,"Alphabetical composition, the name for verse where each line contains a Dzongkha letter  in alphabetical/ka
kha  order"
2457,kaak,"Misfortune, obstacle"
2458,kan,"Noise, voice, sound"
2459,kaap,Shade
2460,kai paang,"Share, portion, honour"
2461,kai bey ga,"Appointment, nomination"
2462,ke phang,"Share, portion, honour"
2463,ko khah,Backbiting
2464,tre ka,"Stamp, postage stamp, impression"
2465,ka ngäel,"Difficulty, hardship, problem"
2466,kah du,"Difficulty allowance, incentive"
2467,ka sho,"Decree, edict, warrant"
2468,traa shi ‟nga söl,Auspicious ceremony
2469,traa shi di lêy,"Congratulation, wishing of good luck, greeting"
2470,traa shi ʼyang cha,"Flourishing, prosperous"
2471,traa shi ley bäy,Well-wish dance performed at the end of special occasion
2472,tre kom,"Starvation, hunger and thirst"
2473,ken ngän sap cheen,"Tragedy, disaster, catastrophe"
2474,ken ngän,"Misfortune, calamity, incidence"
2475,ken bar chey,"Impediment, untoward occurrence"
2476,ken,"condition, circumstance, factor,  misfortune, calamity, incidence"
2477,kaam thräy,Tax paid in cash
2478,kaam phok,Payment in kind or cash
2479,kar ma,Star
2480,käy wa gop sha,"Dividend, share"
2481,ku,"Score, point, mark"
2482,küul dra,"Propaganda, campaign"
2483,kor jap,"Rotation, turn, shift"
2484,ko ra,"Circumambulation, rotation"
2485,cha laang,"Indulgence, habit"
2486,ki du,"Woe, Welfare"
2487,kit pa,"Wellbeing, peace"
2488,ke sa,Birth-place
2489,ket maa waa gah kin drül,Interest-free loan
2490,ket,Interest on loan
2491,kel dren pa,Transporter
2492,ke drip,Birth contamination
2493,ke waa gah nong,Birthday
2494,ke pah phoh jaa,"Mister (Mr.), male, man"
2495,chong zhaa,"Treatment,  management"
2496,chon ma wa,Flawless
2497,chon ming,Nickname
2498,chön,"Error, flaw, mistake, Fault, defect, damage, Fishy"
2499,char zheip,"Review, reappraisal"
2500,khaa ngeäen,"Rude, vulgar, curse"
2501,khaa cheem,"Last will, testament"
2502,khaa jey,"Luck, fortune"
2503,khaa thur,Unite
2504,khaa then,Verbal message
2505,khaa do,Colour
2506,khaa jaang,Address
2507,khaa tsik,"Agreement, commitment"
2508,khaa tsik gän jaa,Settlement
2509,khaa yik,"Address, caption"
2510,khaa rap,"Malicious talk, cunning talk,
deceitful language"
2511,khaa raam,"Malicious talk, cunning talk, deceitful language"
2512,khaa sha,Argument
2513,khaa shong,Trap
2514,khâa,"Group, part, unit"
2515,khaa baak,"Contract, warranty, take responsibility"
2516,khaang thray,House tax
2517,khaang laa,Rent
2518,khaap di,Advice
2519,khaam,Arrogance
2520,khaar tsâ,"Expenditure, expense, outgoings"
2521,khey ʼlaang dam châ,"Oath of allegiance, pledge"
2522,khey ʼlaang,"Pledge, commitment, volunterism"
2523,khuung,"Reason, cause"
2524,khey güu,Profit and loss
2525,kheb saang,"Profit, benefit"
2526,khok pa tong pa,Empty stomach
2527,chap dra,"Announcement, notification, advertisement"
2528,thram ‟ang,Thram number
2529,thrai,"Tax, levy"
2530,thri nga söl,"Coronation, enthronement"
2531,thrim gäl,"Illegal, illicit, unlawful"
2532,thrim thüe,"Compound, bail"
2533,thrim dey,Judiciary
2534,thrim luk,National law
2535,thrim,"law, rule, justice"
2536,ga dong,"Vertical, up and down"
2537,ga sha yong,Scarecrow
2538,gän jaa tre ka,"Judicial stamp, legal stamp"
2539,gän jaa,"Agreement, contract"
2540,guung thrä,House tax
2541,guung draang,Number of households
2542,guung tong,Empty household
2543,guung ‟ang,House number
2544,gü zhap,"Civility, loyalty, respect"
2545,go kap,"Chance, opportunity"
2546,go dah,"Concept, idea"
2547,go näy,"Designation,rank, position, title"
2548,go sa,"Designation,rank, position, title"
2549,gong,"Price, rate"
2550,gäy,"Line, queue, row"
2551,drip,"Contamination, pollution,
defilement"
2552,drup dräy,"Result, achievement, outcome"
2553,droke raam tsoke pah,Charity
2554,drok raam,"Help, aid, assistance, support"
2555,drö chö,"Resolution, minutes, decision"
2556,drö char,"Proposal, opinion, plan"
2557,drö zhei,"Agenda, motion, proposition"
2558,drö tsoke,"Conference, parliament"
2559,ʼlâ,"Fare, wage, charge"
2560,ʼlo buur gah ken,"Emergency circumstance,
emergency factor, emergency cause"
2561,ʼlo buur nel so,"Casual leave, emergency leave"
2562,lok par,"X-ray, X-ray film"
2563,ga ki,Happiness
2564,ga tön,"Celebration, festival, function"
2565,ga trô,"Delight, pleasure, enjoyment"
2566,ga tsoer,"Acknowledgement, appreciation,
gratitude"
2567,guung lo,Age
2568,gey waa gah lai,"Virtuous act, noble deed,
wholesome deed"
2569,gey wa,"Virtue, merit"
2570,gong yang,"Exemption, forgiveness, pardon"
2571,gey traa,"Joke, prank, fun"
2572,dra,"Enemy, foe"
2573,guu kor,"Deception, fraud"
2574,gan khaa,"Responsibility, duty"
2575,gän khur,"Responsibility, duty"
2576,gän thri,"Accountability, obligation"
2577,go jey ten drel,Inauguration ceremony
2578,drem tön,"Demonstration, display, exhibition, fair, show"
2579,dro wa me yi thop waang,Human right
2580,dro wa me yi ʼwaang cha,Human right
2581,dro wa rik dru,Sentient beings of the six realms
2582,dro wa sem chän,"Sentient being, creature"
2583,gü thüi,"Compensation, indemnity, damages,
restitution"
2584,goot pah,"Ill-fated, jinxed, decadence"
2585,güu,Loss
2586,gay wog,"Block, few villages grouped
together for administrative purposes"
2587,jay ke,"Promotion, growth, enhancement"
2588,jap thah,Support
2589,gäl khaa,"Crown, victory, win"
2590,gäl khap,"Country, kingdom, state"
2591,gäl thri,Throne
2592,gäl jüe gah zhung,Monarchy
2593,gäl jüt,"Dynasty, royal lineage, heredity"
2594,gäl tak,"National emblem, emblem"
2595,gäl dar,"Ensign, national flag"
2596,gäl poi tän zhuk,National anthem
2597,gäl chee,International
2598,gäl ʼlön,King and ministers
2599,gäl zhung,"Monarchy, royal government"
2600,gäl tsün,"queen, queen consort,  king and queen"
2601,gäl yum,"Queen mother, royal mother"
2602,gäl yong ke yik,National language
2603,gäl yong gön cha,National dress
2604,gäl yong ʼling ga,National park
2605,gäl yong ga ki päl zom,Gross national happiness
2606,gäl yong dü chen,National day
2607,gäl yong ʼnäy tshüel,National news
2608,gäl yong mey toh,National flower
2609,gäl yong sak thu,General election
2610,gäl yong sa zhung,National curriculum
2611,gäl yong tsem,National sport
2612,gäl yong tso khaang,National parliament
2613,gäl yong sok du chen mo,"National Assembly, lower house"
2614,gäl yong sok du,National assembly
2615,gäl yong sok dey,"National Council, senate, upper house"
2616,gäl yong lä me,"National workforce, labour force"
2617,gäl yong shing,National tree
2618,gäl yong sem chän,National animal
2619,gäl yong,"Countrywide, national"
2620,gäl si,State affairs
2621,ju cha la,"Asset, property, belongings"
2622,ju cha,Raw material
2623,ju nor long chö,"Wealth, riches"
2624,ju nor,"Asset, wealth"
2625,jum tshän,"Basis, cause, reason, evidence,
purpose, point"
2626,juk paang,"Stick, bludgeon, lash rod"
2627,gear dey,Private sector
2628,gear,"Private, personal"
2629,go nor so chong,"Animal husbandry, livestock rearing, ranching"
2630,go nor,"Cattle, domestic animal"
2631,go jey ten drel,"Inauguration, inaugural ceremony"
2632,drik lam ʼnam zhaa,"Etiquette, code of conduct"
2633,jaa cha,"Percentage, percent"
2634,juut pa,"Descendant, hereditary, successor"
2635,nga gäl,"Arrogance, ego, pride"
2636,nang,Song
2637,naen pah guu zom,Meeting of nine evils
2638,nean song,"Hell, lower realm"
2639,ngän lhäy,Corruption
2640,nam zer,"Sunbeam, sun rays"
2641,nam za zin,Solar eclipse
2642,nam rey gah ʼla,Daily wage
2643,ngä raang,"Admiration, appreciation"
2644,no göl,Insurgency
2645,no tah,"Brand, identification mark"
2646,no tah,Identity
2647,no tröi,"Introduction, induction"
2648,no ma,"Actual, real"
2649,no ming,Name
2650,no sap,"Acting, representative, officiating"
2651,no ri,"Appearance, attractive looks, well- proportioned face"
2652,nö zin,"Identification, recognition"
2653,nöi len,"Acceptance, admittance"
2654,nöl chuung,"Mercury, quicksilver"
2655,ʼnga wog,"Domain, under, jurisdiction"
2656,cha thrim,"Act, statute"
2657,cha dre,"Preparation, arrangement"
2658,chuüt,"Fertility, nutrient, nutrition"
2659,chak thah,Iron chain
2660,chok drup,"Ability, capability"
2661,cha wog,District
2662,chaa ru,"Colleague, friend"
2663,chaa ru ches pu,Best friend
2664,chak pa,Bunch
2665,chet paang,Leftover
2666,chaas pah gah,"Requirement, need"
2667,chaas,"Dialect, spoken language"
2668,ching nang,Knot
2669,chip dräl,"Cavalcade, state, procession"
2670,chu tree,"Break, holiday, leave"
2671,chok tham,"Licence, pass, permit"
2672,chon ju,"Test, examination"
2673,char zhei,"Plan, strategy, vision"
2674,jap,"Times, stroke"
2675,jaa ro,Friendslave
2676,jeek ten zam ʼling,"Earth, physical world"
2677,nam nong,"Experience, glimpse"
2678,nuung pu,Less
2679,nie ring,"Partiality, discrimination,
favouritism,"
2680,nen khaa,"Danger, threat, risk"
2681,neiy thrim,"Sentence, punishment, penalty"
2682,nie jaa,"Punishment, penalty, indictment"
2683,nop tsong,"Trade, shopping, business"
2684,ʼnen tham,Marriage certificate
2685,ʼnyän  cha,"Music, instrument"
2686,ʼniän zheeu,"Report, file, apprise"
2687,ʼneing jey,"Compassion, sympathy"
2688,ʼneing po,"Essence, substance, value"
2689,taang,"Gift, present"
2690,tan muung,"Show, pageant"
2691,tam ka,"Tobacco, cigarette"
2692,ti ru sa maang,"Repayment, refund"
2693,tän tän,"Confirmation, finalization"
2694,taam ju,Folk tale
2695,taam neiän,"Ill-fame, bad news"
2696,taam,Story
2697,ta ma,Mortgage
2698,tingh daangh khaat kah,Top and bottom
2699,ting,"Bottom, depth"
2700,ta ma,"Award, medal"
2701,tak tshän,"Omen, sign"
2702,tak,Sign
2703,täy thah,"Stick, lash rod"
2704,ten drel,"Occasion, function"
2705,ta zong,Watchtower
2706,toh tshang,Friend
2707,to li,Gluttony
2708,top,"Strength, force, cannon"
2709,tak chey,Examination
2710,ta jaa thong jaa,Exposure
2711,tak shäl,Tourism
2712,tuun drey,Discussion
2713,tuun cha,Discussion
2714,thah daam tsik,"Faithfulness, loyalty"
2715,thäh kah,"Regarding, concerning"
2716,thap daang shey rap,Method and wisdom
2717,thap lam,"Means, method"
2718,thap shey,Solution
2719,thaam chän,"Whole, entire"
2720,thar pa,"Nirvana, salvation"
2721,thik,Line
2722,thiu,Seal
2723,thu ken,Accident
2724,thuk jey jin lap,Blessing
2725,thuk jey,"Grace, blessing"
2726,thiay tsom,"Doubt, suspicion"
2727,thaip,Excess
2728,thoh,"List, listing"
2729,thön kay,"Output, produce"
2730,thön khuung,Productivity
2731,thop khuung,Source of income
2732,thop wang,Entitlement
2733,thah kor ʼnäy taang,"Surrounding, environmental condition"
2734,thaas kor,"Environment, surrounding"
2735,thün laam,"Connection, relationship, bond"
2736,thü me,"Member, cadre"
2737,thik shorr,Failure
2738,thaen,"Verbal message, communication"
2739,thaep,Extra
2740,dah sur,"Less, little"
2741,tik taang,"Less, little"
2742,dam tsik,"Loyalty, commitment"
2743,daar chap,"Prevalence, desimination"
2744,duuk,Poison
2745,duuk zäy,Toxin
2746,dü dro,Animal
2747,dü chen,Grand occasion
2748,dü tap,Appointment
2749,dü tön,"Festival, ceremony"
2750,doh kang,"Staff, walking stick"
2751,doke pa,"Doubt, suspicion"
2752,dön thäh,"Meaning, purpose"
2753,dran pa,Dirt
2754,dran ma,"Consciousness, Maturity"
2755,drän so,Reminder
2756,dree wa dre län,"Question and answer, interview"
2757,dree wa,Question
2758,drin chän,Gracious
2759,drin,Gratitude
2760,druung khak,Sub-district
2761,drung thrim,"Sub-majestrate, sub-district judge"
2762,dro ban tsong,Black marketing
2763,dam khaa,"Selection, nomination"
2764,dän dren,Invitation
2765,daang,Tune
2766,duung jüe,"Descent, lineage"
2767,dong len,Reception
2768,düt,"Devil, demon"
2769,dey ki,"Peace, wellbeing"
2770,dey wa,"Happiness, peace"
2771,den khuung,"Justification, validation"
2772,den pa,Truth
2773,den tsik,"Truth, word of truth"
2774,den zin,"True and false, right and wrong"
2775,du shey,"Gratitude, understanding"
2776,dah läin,"Signal, information"
2777,dur,"Challenge, contest"
2778,dom tsie,Addition
2779,young dom,"Grand total, total, partnership, co- ordination"
2780,na ka,"Type, variety, range, Earthquake"
2781,na tshö,"Age, year"
2782,nak tsong,Black marketing
2783,nang drik,Negotiation
2784,nang zäy,"Filling, stuffing"
2785,nang soop,Bribe
2786,no wang khah ri,"Rude, abusive, vulgar, abuse, curse,
row"
2787,no wang tongh pah,Without eating
2788,no wang di ku,"Stammer, stutter"
2789,nor thräy,Cattel tax
2790,nor buu,"Gem, jewel"
2791,ʼnäy kap,"Idea, strategy"
2792,ʼnäy taang,"environment, status, condition, position"
2793,ʼnaang wa,"Permission, approval, authorisation"
2794,ʼnäy seyl,News
2795,ʼnäy sor,"Move, shift, transfer"
2796,‟nok saam,"Thought, opinion, feeling"
2797,ʼnam juur,"Gesture, acting"
2798,ʼnam toh,Hock
2799,ʼnam pah ʼnah tsoke,"Variety, types"
2800,ʼnam ‟min,"Karmic effect, result"
2801,ʼnam she,Soul
2802,pey taam,"Proverb, saying"
2803,pey,"Example, sample"
2804,cha,"Fraction, part"
2805,po nang,Addition
2806,chee wog,"Sub-division of village
administration"
2807,tro wa,"Delight, fun"
2808,phai ra wa,Ruins
2809,phai sa,Plot
2810,phey traang,Alimony
2811,phu duk pah gah tam,Expression of suffering
2812,phur tsie,"Dirt, dust"
2813,pho rap,Handsome
2814,pho laang tong pah,Empty stomach
2815,phuung,"Sneak, agitate"
2816,ba na raang,"Honestly, truly"
2817,bak drip,"Defilement that is brought by different people assembled in a
marriage"
2818,bak cha,Wrench
2819,bäy thaah,Fight
2820,be laam,Footprint
2821,buu daang,"Grain, Count, numbers"
2822,buu len,Debt
2823,bong khai,Share
2824,bro,Dance
2825,brok ta,Grumble
2826,brok shi,Grumble
2827,dron,Second share
2828,jor tah,Receipt
2829,baang ki,Credit
2830,maang thaan,Labour contribution in lieu of tax
2831,maan bah,"Old, worn out"
2832,maan ma,"Old, worn out"
2833,me thrai,Electricity tariff
2834,me nang,Sleep
2835,ʼme tsie,Census
2836,‟me sear,"Citizen, people"
2837,‟mik sear,Jealousy
2838,ming da za,Jealousy
2839,mo rap,Beautiful
2840,mong shi,Dream
2841,zhung kah chu tree,Public holiday
2842,‟män chö,Treatment
2843,sa tah leng pah,"Naked, nude"
2844,tsoke pah,Dirt
2845,sa chey tok toh,"Valuable, important"
2846,tsham trau li,Curly hair
2847,tsem phreas pa,Broken seam
2848,sey so nga gah lah nee nam,Full moon
2849,tsong thräy,Sales tax
2850,zo mey ga,"Meeting, gathering, congress"
2851,zey wa,"Fault, guilt"
2852,zhaap toh,Service
2853,zhing tsang,"Swamp, puddle"
2854,zhhu yik,Application
2855,zhhu luk,Complaint
2856,zhiit ka,Memory
2857,zäy drong,"Expenditure, expense"
2858,zu,Splinter
2859,zum zu ma,Fight
2860,dah wah zah dzin,Lunar eclipse
2861,zo,"Appearance, attractive looks, well-
proportioned face"
2862,ur lah,Labour contribution in lieu of tax
2863,ya,Sharpness
2864,yar gäy,"Increase, development"
2865,yi guu,Letter
2866,yin tsang,"Swamp, puddle"
2867,yong,"shadow, scare, fear"
2868,rang zhin,Nature
2869,raam,"Credit, loan"
2870,rai pa,Tear
2871,ri thräy,Water bill
2872,ri phraang,River bed
2873,ri bom nang,"Bubble, scum, froth"
2874,rin,"Price, rate"
2875,rup,"Partnership, collaboration, collective"
2876,rey cha,Expectation
2877,rok raam,"Help, support"
2878,rong,"Baggage, luggage, load"
2879,röt pa,"Flash flood, flood, inundation"
2880,lah nee nam,Moon
2881,laang shor,"Habit, addict"
2882,lak sap,Labour exchange
2883,läy ju dräy,Cause and effect
2884,‟lung da ma,"Rock, conglomerate, boulder"
2885,ʼlung bok pe,Stone dust
2886,lo mah tek pah,"Stammer, stutter"
2887,lo,"Dialect, spoken language"
2888,she drip,Contamination from death
2889,she ri,Smell
2890,sher,Smell
2891,shak pa,"Apology, confession"
2892,sa naang,"Urge, craving"
2893,sa thräy,Land tax
2894,sem ma lek pu,"Bad-hearted, evil-minded"
2895,sem lek pu,Kind-hearted
2896,sem chän,Animal
2897,so no ga rik,"Human race, ethnicity, humankind"
2898,so no,Human being
2899,so dah,"Lie, false"
2900,so thüi,Palimony
2901,soi ra,Prize
2902,lhaam pah,"Type, variety, kind"
2903,dra ʼlha,Protective deity
2904,yü ʼlha,Local diety
2905,ʼlu,Serpent
2906,khan droma,"Dakini, angel, fairy"
2907,ke ʼlha,"Deity of birth-place, natal deity"
2908,ke sen,"Deity of birth-place, natal deity"
2909,dai lo,Resurrection
